day	site	row	treatment	Coccinellids	Carabids
9	Jolly	1	bottom	0	0
9	Jolly	2	bottom	2	2
9	Jolly	3	bottom	1	5
9	Jolly	4	bottom	2	1
9	Jolly	5	bottom	0	1
16	Jolly	1	bottom	0	2
16	Jolly	2	bottom	2	1
16	Jolly	3	bottom	2	1
16	Jolly	4	bottom	0	1
16	Jolly	5	bottom	0	3
16	Jolly	1	closed	0	2
16	Jolly	2	closed	0	0
16	Jolly	3	closed	0	2
16	Jolly	4	closed	0	0
16	Jolly	5	closed	0	0
1	Jolly	4	open	0	26
1	Jolly	5	open	2	17
9	Jolly	1	open	0	11
9	Jolly	2	open	2	11
9	Jolly	3	open	2	2
9	Jolly	4	open	1	11
9	Jolly	5	open	0	7
16	Jolly	1	open	0	7
16	Jolly	2	open	0	13
16	Jolly	3	open	1	30
16	Jolly	4	open	3	11
16	Jolly	5	open	3	9
9	Jolly	1	top	0	29
9	Jolly	2	top	2	21
9	Jolly	3	top	0	3
9	Jolly	4	top	1	20
9	Jolly	5	top	0	9
16	Jolly	1	top	0	5
16	Jolly	2	top	0	2
16	Jolly	3	top	0	31
16	Jolly	4	top	2	20
16	Jolly	5	top	0	9
1	Jolly 	1	bottom	2	5
1	Jolly 	2	bottom	0	12
1	Jolly 	3	bottom	0	16
1	Jolly 	4	bottom	0	5
1	Jolly 	5	bottom	1	7
1	Jolly 	1	closed	0	5
1	Jolly 	2	closed	1	1
1	Jolly 	3	closed	0	7
1	Jolly 	4	closed	0	6
1	Jolly 	5	closed	0	11
9	Jolly 	1	closed	0	1
9	Jolly 	2	closed	0	1
9	Jolly 	3	closed	0	2
9	Jolly 	4	closed	0	3
9	Jolly 	5	closed	0	1
1	Jolly 	1	open	1	12
1	Jolly 	2	open	1	8
1	Jolly 	3	open	1	19
1	Jolly 	1	top	2	0
1	Jolly 	2	top	1	29
1	Jolly 	3	top	0	6
1	Jolly 	4	top	2	17
1	Jolly 	5	top	0	50
1	PigFarm	1	bottom	3	16
1	PigFarm	2	bottom	1	2
1	PigFarm	3	bottom	2	NA
1	PigFarm	4	bottom	0	12
1	PigFarm	5	bottom	1	11
9	PigFarm	1	bottom	0	1
9	PigFarm	2	bottom	0	1
9	PigFarm	3	bottom	1	2
9	PigFarm	4	bottom	0	2
9	PigFarm	5	bottom	0	3
16	PigFarm	1	bottom	1	1
16	PigFarm	2	bottom	0	3
16	PigFarm	3	bottom	2	2
16	PigFarm	4	bottom	0	3
16	PigFarm	5	bottom	2	0
1	PigFarm	1	closed	0	9
1	PigFarm	2	closed	0	6
1	PigFarm	3	closed	0	5
1	PigFarm	4	closed	0	6
1	PigFarm	5	closed	0	14
9	PigFarm	1	closed	0	0
9	PigFarm	2	closed	0	2
9	PigFarm	3	closed	0	1
9	PigFarm	4	closed	0	2
9	PigFarm	5	closed	0	5
16	PigFarm	1	closed	0	5
16	PigFarm	2	closed	0	3
16	PigFarm	3	closed	0	4
16	PigFarm	4	closed	0	0
16	PigFarm	5	closed	0	0
1	PigFarm	1	open	0	28
1	PigFarm	2	open	2	22
1	PigFarm	3	open	0	9
1	PigFarm	4	open	3	10
1	PigFarm	5	open	0	2
9	PigFarm	1	open	2	14
9	PigFarm	2	open	0	7
9	PigFarm	3	open	2	20
9	PigFarm	4	open	0	15
9	PigFarm	5	open	2	8
16	PigFarm	1	open	2	19
16	PigFarm	2	open	2	15
16	PigFarm	3	open	0	12
16	PigFarm	4	open	0	15
16	PigFarm	5	open	2	9
1	PigFarm	1	top	0	25
1	PigFarm	2	top	2	20
1	PigFarm	3	top	1	23
1	PigFarm	4	top	0	15
1	PigFarm	5	top	0	19
9	PigFarm	1	top	0	8
9	PigFarm	2	top	0	9
9	PigFarm	3	top	0	5
9	PigFarm	4	top	0	12
9	PigFarm	5	top	0	9
16	PigFarm	1	top	0	10
16	PigFarm	2	top	0	20
16	PigFarm	3	top	0	11
16	PigFarm	4	top	0	11
16	PigFarm	5	top	0	16
